"max_carotid","max_vert","ASA","scenario","sexM","age_ASA","age_max_vert","logit","predicted_prob","platt_scaled_prob","injury_grade","line_type"
1,0,0,"Carotid",0,0,0,1.27409739193262,78.144334695452,24.095886977889,1,"ASA 0"
2,0,0,"Carotid",0,0,0,1.77607456862627,85.5211477558881,34.3734428260857,2,"ASA 0"
3,0,0,"Carotid",0,0,0,2.27805174531991,90.7042907920625,42.6812607314319,3,"ASA 0"
4,0,0,"Carotid",0,0,0,2.78002892201356,94.1587035214416,48.4908525675569,4,"ASA 0"
5,0,0,"Carotid",0,0,0,3.2820060987072,96.3806328898828,52.2594340712022,5,"ASA 0"
1,0,1,"Carotid",0,47,0,0.129215445510734,53.2258989158944,5.525909594335,1,"ASA 1"
2,0,1,"Carotid",0,47,0,0.63119262220438,65.2759836453754,11.7023332323085,2,"ASA 1"
3,0,1,"Carotid",0,47,0,1.13316979889803,75.642339975827,21.1273924491058,3,"ASA 1"
4,0,1,"Carotid",0,47,0,1.63514697559167,83.6873503408428,31.6225367606898,4,"ASA 1"
5,0,1,"Carotid",0,47,0,2.13712415228532,89.4459433216348,40.6058523896467,5,"ASA 1"
0,1,0,"Vertebral",0,0,47,0.989678121669278,72.9024340664327,18.194179044851,1,"ASA 0"
0,2,0,"Vertebral",0,0,94,1.20723602809958,76.98095307327,22.6812246985825,2,"ASA 0"
0,3,0,"Vertebral",0,0,141,1.42479393452989,80.6088854193795,27.2864495631097,3,"ASA 0"
0,4,0,"Vertebral",0,0,188,1.64235184096019,83.785469882611,31.7667261754521,4,"ASA 0"
0,5,0,"Vertebral",0,0,235,1.85990974739049,86.5286428024873,35.9322003817022,5,"ASA 0"
0,1,1,"Vertebral",0,47,47,-0.155203824752608,46.1276743839034,3.48678156065123,1,"ASA 1"
0,2,1,"Vertebral",0,47,94,0.0623540816776956,51.558347166085,4.963876217387,2,"ASA 1"
0,3,1,"Vertebral",0,47,141,0.279911988107999,56.9524646519287,7.00500505460914,3,"ASA 1"
0,4,1,"Vertebral",0,47,188,0.497469894538303,62.1864563063375,9.70324946260735,4,"ASA 1"
0,5,1,"Vertebral",0,47,235,0.715027800968607,67.1511166701273,13.08297038291,5,"ASA 1"
1,1,0,"Combined",0,0,47,1.49165529836292,81.6326593823679,28.6867994289759,1,"ASA 0"
2,2,0,"Combined",0,0,94,2.21119038148687,90.1249919604919,41.722146031804,2,"ASA 0"
3,3,0,"Combined",0,0,141,2.93072546461082,94.9344573640712,49.8068372975687,3,"ASA 0"
4,4,0,"Combined",0,0,188,3.65026054773477,97.467372915059,54.09595558101,4,"ASA 0"
5,5,0,"Combined",0,0,235,4.36979563085872,98.7504292161778,56.249626911868,5,"ASA 0"
1,1,1,"Combined",0,47,47,0.346773351941038,58.5834907102831,7.76145897260015,1,"ASA 1"
2,2,1,"Combined",0,47,94,1.06630843506499,74.3894248580975,19.7449698324739,2,"ASA 1"
3,3,1,"Combined",0,47,141,1.78584351818894,85.6416923310226,34.5582596261266,3,"ASA 1"
4,4,1,"Combined",0,47,188,2.50537860131289,92.4518020790612,45.6051791809435,4,"ASA 1"
5,5,1,"Combined",0,47,235,3.22491368443684,96.176113396286,51.9129732515817,5,"ASA 1"
